product_id,nom_produit,prix_unitaire,quantite_vendue,chiffre_affaires,z_score
4045,Pierre Gaillard Côte Rôtie 2018,42.6,14.0,596.4,0.3638384633863292
6050,Christophe Pichon Condrieu 2017,38.5,0.0,0.0,0.21654516541834
4785,Maurice Schoech Pinot Auxerrois Vieilles Vignes 2018,10.1,1.0,10.1,-0.803730361969682
5619,"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018",71.3,0.0,0.0,1.3948915491622529
5810,Château Tour De Pez Saint-Estèphe 2017,24.0,0.0,0.0,-0.3043701566635726
6301,Borie La Vitarèle Saint-Chinian Midi Rouge 2015,40.5,0.0,0.0,0.2883955546710176
4334,Champagne Gosset Grand Blanc de Blancs,49.0,96.0,4704.0,0.5937597089948975
4929,Domaine La Croix Belle Côtes de Thongue Rouge N°7 2017,16.7,2.0,33.4,-0.5666240774358459
4938,Domaine Rouge Garance Côtes du Rhône Villages Garances 2016,12.5,0.0,0.0,-0.7175098948664689
5397,Chili De Martino Viejas Tinajas Cinsault 2013,24.0,0.0,0.0,-0.3043701566635726
4607,François Bergeret Hautes Côtes de Beaune Vieilles Vignes Rondo 2017,13.4,0.0,0.0,-0.6851772197027639
5709,Philippe Alliet Chinon Rouge Coteau de Noiré 2016,31.7,0.0,0.0,-0.0277461580407638
4620,Bernard Baudry Chinon Rouge Les Granges 2018,11.9,6.0,71.4,-0.7390650116422721
5523,Domaine Chambeyron Côte Rôtie Lancement 2017,60.4,1.0,60.4,1.0033069277351598
5524,Domaine Chambeyron Condrieu Vernon 2018,38.6,1.0,38.6,0.2201376848809739
6622,Thierry Germain Saumur-Champigny Les Mémoires 2018,42.2,0.0,0.0,0.3494683855357937
4067,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,22.0,19.0,418.0,-0.3762205459162502
4099,Paul Ginglinger Riesling Drei Exa 2018,12.8,0.0,0.0,-0.7067323364785671
4651,Thierry Germain Saumur Blanc Terres 2014,49.0,0.0,0.0,0.5937597089948975
4924,Cave de Castelmaure Corbières Rouge Grande Cuvée 2017,12.8,0.0,0.0,-0.7067323364785671
4094,Paul Ginglinger Gewurztraminer Wahlenbourg 2017,13.7,0.0,0.0,-0.6743996613148623
4150,Champagne Mailly Grand Cru Intemporelle 2010,59.0,1.0,59.0,0.9530116552582856
4920,Alain Graillot Crozes-Hermitage Blanc 2018,24.4,10.0,244.0,-0.2900000788130371
5797,Château Saransot-Dupré Listrac-Médoc 2016,17.2,0.0,0.0,-0.5486614801226765
6592,Domaine de la Monardière Vacqueyras Blanc Galéjade 2018,24.4,0.0,0.0,-0.2900000788130371
